run_id,dataset,phase,subject,domain,family,D_nuisance,D_gesture,J,feature_dimension,definition
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_4,F4_Spectral,20.349834442138672,27.016498565673828,1.3276028678508107,72,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_1,F5_Temporal,9.267836570739746,14.007658004760742,1.5114269546987877,57,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_2,F5_Temporal,10.799102783203125,15.44389533996582,1.4301091164708382,57,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_3,F5_Temporal,11.022500038146973,15.370452880859375,1.3944615856351548,57,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_4,F5_Temporal,11.249627113342285,16.003929138183594,1.4226186323279273,57,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_1,F9_Quality,12.550187110900879,20.590551376342773,1.6406569236291728,53,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_2,F9_Quality,18.531518936157227,27.782207489013672,1.4991867415037274,53,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_3,F9_Quality,18.71645736694336,26.726083755493164,1.4279456433189555,53,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,15,trial_4,F9_Quality,17.937692642211914,26.129104614257812,1.4566591777120756,53,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_1,F0,6.090065956115723,10.655641555786133,1.7496758873496026,48,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_2,F0,6.605641841888428,8.090712547302246,1.22481853254521,48,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_3,F0,6.772097587585449,13.758890151977539,2.0317028769931174,48,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_4,F0,7.155559539794922,10.999884605407715,1.5372500982252233,48,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_1,F1_X1H,3.3860955238342285,4.921398162841797,1.45341385917773,8,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_2,F1_X1H,3.4571290016174316,5.852168560028076,1.6927828140889225,8,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_3,F1_X1H,3.1904139518737793,5.853490829467773,1.8347120209990597,8,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_4,F1_X1H,3.2879958152770996,5.714805603027344,1.738081775065758,8,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_1,F2a_Cov,8.471887588500977,11.578380584716797,1.3666825089170145,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_2,F2a_Cov,8.452873229980469,13.720695495605469,1.6231990143824206,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_3,F2a_Cov,7.815408229827881,12.632967948913574,1.616418180268259,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_4,F2a_Cov,8.386539459228516,11.868783950805664,1.415218280257882,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_1,F2b_CSP,2.8357186317443848,4.136533737182617,1.4587250268326448,10,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_2,F2b_CSP,2.6926002502441406,4.838615417480469,1.7970047418067163,10,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_3,F2b_CSP,2.586257219314575,5.025333881378174,1.943091291866195,10,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_4,F2b_CSP,2.5896754264831543,4.570960998535156,1.7650710014810131,10,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_1,F2c_SPD,9.192947387695312,10.710183143615723,1.165043450368274,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_2,F2c_SPD,8.751659393310547,11.860530853271484,1.355232227426023,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_3,F2c_SPD,8.806941032409668,12.124757766723633,1.3767274837089263,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_4,F2c_SPD,10.075868606567383,12.950469970703125,1.285295638160745,36,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_1,F3_Ring,4.392381191253662,7.186544895172119,1.6361387097915603,40,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_2,F3_Ring,4.408662796020508,8.434560775756836,1.9131789311190692,40,source-standardized trial-mean class centroids; before/after shift displacement
feature_bank_electrode_shift_audited_validation_20260915,libemg_electrode_shift,validation,16,trial_3,F3_Ring,5.6515398025512695,9.845487594604492,1.7420894019286939,40,source-standardized trial-mean class centroids; before/after shift displacement
