run_id,dataset,phase,shots_per_class,method,mean_condition_macro_f1,minimum_condition_macro_f1,worst_condition,minimum_subject_condition_macro_f1,worst_subject,worst_subject_condition,conditions_evaluated
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,full,0.4766860249924227,0.37779065649248206,Hard,0.12111801242236024,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,uniform_population,0.4766860249924227,0.37779065649248206,Hard,0.12111801242236024,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F0,0.4469761570252339,0.3442996631851121,60P,0.10476190476190476,10,Light,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F1_X1H,0.48120822718786926,0.3792450313458717,Hard,0.12111801242236024,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F2b_CSP,0.4581914681602875,0.3450764921353157,Hard,0.11156462585034013,10,Light,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F3_Ring,0.4682203827417478,0.3630252100840336,Hard,0.14285714285714285,10,Hard,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F4_Spectral,0.44932863114856114,0.40240711669283097,60P,0.13157894736842105,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F5_Temporal,0.47734675804496085,0.4228033318590594,40P,0.11904761904761904,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F7_anchor,0.4766860249924227,0.37779065649248206,Hard,0.12111801242236024,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,0,without_F9_Quality,0.4870776680769723,0.409953455066237,Hard,0.14718614718614717,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,baseline_F0,0.5102943087781718,0.41024531024531036,MVC,0.08299319727891155,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,full,0.4959768425021846,0.409953455066237,Hard,0.14648526077097504,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,uniform_population,0.4766860249924227,0.37779065649248206,Hard,0.12111801242236024,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F0,0.4689729850392741,0.39838157485216313,Hard,0.1131815044858523,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F1_X1H,0.5048993635218555,0.4293673744801564,Hard,0.13174603174603175,10,Light,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F2b_CSP,0.4895341612374546,0.4268339503633621,70P,0.11904761904761904,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F3_Ring,0.5010456934955347,0.41169801253834865,Hard,0.17919799498746866,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F4_Spectral,0.4881575202637362,0.4176823176823176,60P,0.16130298273155416,10,Light,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F5_Temporal,0.5110782606912637,0.4449598021026593,MVC,0.12063492063492064,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F7_anchor,0.4837611221198532,0.3630252100840336,Hard,0.14285714285714285,10,Hard,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,1,without_F9_Quality,0.5010155156140003,0.42416939785360835,Hard,0.14718614718614717,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,baseline_F0,0.5102943087781718,0.41024531024531036,MVC,0.08299319727891155,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,full,0.5672922446937669,0.500652211832336,Hard,0.0873015873015873,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,uniform_population,0.4766860249924227,0.37779065649248206,Hard,0.12111801242236024,10,Medium,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F0,0.5329138136845141,0.4664192949907235,Hard,0.15512265512265513,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F1_X1H,0.5601658820822576,0.4992378489857482,Hard,0.08395989974937343,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F2b_CSP,0.549282362399055,0.4875957375957376,Hard,0.08039579468150897,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F3_Ring,0.5619577168460886,0.5019536019536018,Hard,0.08395989974937343,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F4_Spectral,0.5648475283906106,0.514017094017094,Hard,0.13174603174603175,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F5_Temporal,0.5828143342241567,0.5046800258564964,Hard,0.0873015873015873,10,20P,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F7_anchor,0.4793740830771423,0.3968382755401011,Hard,0.15555555555555553,10,Light,11
feature_bank_force_condition_final_20260915,libemg_contraction_intensity,final,2,without_F9_Quality,0.5644095836581846,0.44383945936740965,Light,0.1768009768009768,10,Light,11
