family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F9_Quality,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.5194938394938394,0.08883795942619466,0.09870702858020919,0.012439246414596566
F1_X1H,day,feature_bank_unibo_validation_20260915,ALL,0.6553824578465604,0.6307714417500797,-0.024611016096480642,-0.004336782079200963,-0.002022330241074774
F1_X1H,day,feature_bank_unibo_validation_20260915,posture_1,0.6500122741433252,0.6077640574942047,-0.042248216649120485,-0.005252164199874232,-0.0019562784043935383
F1_X1H,day,feature_bank_unibo_validation_20260915,posture_2,0.6555460017238655,0.6267045564400036,-0.0288414452838619,-0.008161582239813892,-0.003802240355528605
F1_X1H,day,feature_bank_unibo_validation_20260915,posture_3,0.6620663903639114,0.6296890490767034,-0.03237734128720793,0.009987755252451325,-0.0002586177819916685
F1_X1H,day,feature_bank_unibo_validation_20260915,posture_4,0.6425451069063199,0.6445033210380446,0.0019582141317247004,-0.013492850701480541,-0.002070280341939068
F1_X1H,day,feature_bank_unibo_validation_20260915,day_6,0.6553824578465604,0.6307714417500797,-0.024611016096480642,-0.004336782079200963,-0.002022330241074774
F2a_Cov,day,feature_bank_unibo_validation_20260915,ALL,0.6553824578465604,0.6549472133051806,-0.00043524454137977564,0.00034015203667692173,0.00021159121367807232
F2a_Cov,day,feature_bank_unibo_validation_20260915,posture_1,0.6500122741433252,0.6447146116886311,-0.0052976624546940965,-0.0010604654993358609,-6.410054497830997e-05
F2a_Cov,day,feature_bank_unibo_validation_20260915,posture_2,0.6555460017238655,0.6400048139350565,-0.015541187788808974,-0.005184350466885368,-0.0009671667361714764
F2a_Cov,day,feature_bank_unibo_validation_20260915,posture_3,0.6620663903639114,0.6555417207593758,-0.006524669604535571,0.00020693604441812674,0.0001031707767045753
F2a_Cov,day,feature_bank_unibo_validation_20260915,posture_4,0.6425451069063199,0.6659261634008653,0.02338105649454536,0.0070925634239134006,0.0017065655315401107
F2a_Cov,day,feature_bank_unibo_validation_20260915,day_6,0.6553824578465604,0.6549472133051806,-0.00043524454137977564,0.00034015203667692173,0.00021159121367807232
F2b_CSP,day,feature_bank_unibo_validation_20260915,ALL,0.6553824578465604,0.6540086826497101,-0.0013737751968502243,0.0010697333915083984,-3.20921880019448e-05
F2b_CSP,day,feature_bank_unibo_validation_20260915,posture_1,0.6500122741433252,0.6438071387613565,-0.006205135381968652,0.0005140607239116357,-0.00025299060938821505
F2b_CSP,day,feature_bank_unibo_validation_20260915,posture_2,0.6555460017238655,0.6302840610517689,-0.025261940672096528,-0.005328730202816545,-0.0016018375940737156
F2b_CSP,day,feature_bank_unibo_validation_20260915,posture_3,0.6620663903639114,0.6596889877669762,-0.0023774025969351964,0.004487736335388681,0.0005164308298960113
F2b_CSP,day,feature_bank_unibo_validation_20260915,posture_4,0.6425451069063199,0.6692439410582968,0.026698834151976825,0.004451935013393693,0.0011560752890697606
F2b_CSP,day,feature_bank_unibo_validation_20260915,day_6,0.6553824578465604,0.6540086826497101,-0.0013737751968502243,0.0010697333915083984,-3.20921880019448e-05
F2c_SPD,day,feature_bank_unibo_validation_20260915,ALL,0.6553824578465604,0.6537599780152185,-0.0016224798313418942,-0.0007732064522480986,3.8614304525230736e-05
F2c_SPD,day,feature_bank_unibo_validation_20260915,posture_1,0.6500122741433252,0.6446129692594963,-0.005399304883828893,-0.0016896304579404609,-0.00019501376344761845
F2c_SPD,day,feature_bank_unibo_validation_20260915,posture_2,0.6555460017238655,0.6349894946775203,-0.02055650704634515,-0.005582033743684378,-0.001199728660487731
F2c_SPD,day,feature_bank_unibo_validation_20260915,posture_3,0.6620663903639114,0.6546265835163979,-0.007439806847513442,0.0006822146818387664,9.507936269791128e-05
F2c_SPD,day,feature_bank_unibo_validation_20260915,posture_4,0.6425451069063199,0.6680933622522089,0.025548255345889004,0.003311875438840095,0.0013925529463331698
F2c_SPD,day,feature_bank_unibo_validation_20260915,day_6,0.6553824578465604,0.6537599780152185,-0.0016224798313418942,-0.0007732064522480986,3.8614304525230736e-05
F4_Spectral,day,feature_bank_unibo_validation_20260915,ALL,0.6553824578465604,0.6483891394342707,-0.006993318412289673,-0.001061062086799347,6.535325211137755e-05
F4_Spectral,day,feature_bank_unibo_validation_20260915,posture_1,0.6500122741433252,0.6454065760795233,-0.004605698063801844,0.0033966634858398903,2.279315882167121e-05
F4_Spectral,day,feature_bank_unibo_validation_20260915,posture_2,0.6555460017238655,0.6242794655961326,-0.03126653612773289,0.0011950741561110867,-0.0002679011436155232
F4_Spectral,day,feature_bank_unibo_validation_20260915,posture_3,0.6620663903639114,0.6486184397852953,-0.01344795057861603,0.005351208102367722,0.0009083316053659779
F4_Spectral,day,feature_bank_unibo_validation_20260915,posture_4,0.6425451069063199,0.6637403068469909,0.021195199940670983,-0.013626747793139105,-0.00038094433721747034
F4_Spectral,day,feature_bank_unibo_validation_20260915,day_6,0.6553824578465604,0.6483891394342707,-0.006993318412289673,-0.001061062086799347,6.535325211137755e-05
F5_Temporal,day,feature_bank_unibo_validation_20260915,ALL,0.6553824578465604,0.6732552026387864,0.017872744792226003,0.01278353370524754,0.002414018141818672
F5_Temporal,day,feature_bank_unibo_validation_20260915,posture_1,0.6500122741433252,0.677109880834924,0.027097606691598775,0.01591772603172925,0.0028662747496829705
F5_Temporal,day,feature_bank_unibo_validation_20260915,posture_2,0.6555460017238655,0.6483520637753519,-0.007193937948513529,0.001752706592083375,0.0004939454110432506
F5_Temporal,day,feature_bank_unibo_validation_20260915,posture_3,0.6620663903639114,0.6734317208852717,0.01136533052136035,0.014816443661646916,0.002423234356550591
F5_Temporal,day,feature_bank_unibo_validation_20260915,posture_4,0.6425451069063199,0.6834305924113495,0.04088548550502957,0.018373465114962018,0.0038060085065757393
F5_Temporal,day,feature_bank_unibo_validation_20260915,day_6,0.6553824578465604,0.6732552026387864,0.017872744792226003,0.01278353370524754,0.002414018141818672
