dataset,phase,subject,condition,family,feature_dimension,active_native_labels_json,rest_label_excluded,D_nuisance_active,D_gesture_active,J_active,macro_f1_active6,accuracy_active,log_loss_active_truth_7way_probability,active_trials,rest_trials_excluded
libemg_contraction_intensity,validation,7,ALL,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.231836318969727,6.342785553498701,1.2123440349958259,0.3868382996053606,0.40476190476190477,2.184239656410857,252,42
libemg_contraction_intensity,validation,7,20P,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.951526165008545,2.2820637226104736,0.38344176927076534,0.0,0.0,4.125208602192915,24,4
libemg_contraction_intensity,validation,7,30P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.93211555480957,4.102320671081543,0.831756804034726,0.0909090909090909,0.125,2.547033765874585,24,4
libemg_contraction_intensity,validation,7,40P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.261814594268799,5.890264987945557,1.382102589758,0.26060606060606056,0.3333333333333333,1.925205283472878,24,4
libemg_contraction_intensity,validation,7,50P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.057955741882324,7.308568000793457,1.8010467500129015,0.5507122507122507,0.6666666666666666,1.4232939357150027,24,4
libemg_contraction_intensity,validation,7,60P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.230687141418457,8.181146621704102,1.9337630857685604,0.5444444444444444,0.6666666666666666,1.2083639966733388,24,4
libemg_contraction_intensity,validation,7,70P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.843263149261475,9.212552070617676,1.9021374198575682,0.6555555555555556,0.7083333333333334,1.1883217511816488,24,4
libemg_contraction_intensity,validation,7,80P,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.462217807769775,9.406720161437988,1.7221429998425017,0.5703703703703703,0.6666666666666666,1.4105129003089025,24,4
libemg_contraction_intensity,validation,7,MVC,F0,48,"[1, 2, 3, 4, 5, 6]",0,8.039743423461914,9.25014591217041,1.1505523777116062,0.19444444444444442,0.3333333333333333,1.6076630084990178,12,2
libemg_contraction_intensity,validation,7,Light,F0,48,"[1, 2, 3, 4, 5, 6]",0,6.4191155433654785,1.4813332557678223,0.23076905934117165,0.0,0.0,4.748175281395188,24,4
libemg_contraction_intensity,validation,7,Medium,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.424132347106934,4.475903034210205,1.0117018847856023,0.29365079365079366,0.3333333333333333,2.319966009951623,24,4
libemg_contraction_intensity,validation,7,Hard,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.927628517150879,8.179622650146484,1.6599511553094695,0.484126984126984,0.5833333333333334,1.2346033612984089,24,4
libemg_contraction_intensity,validation,8,ALL,F0,48,"[1, 2, 3, 4, 5, 6]",0,6.392557621002197,11.109143170443447,1.7378244873024737,0.47676918825854986,0.45634920634920634,1.875235640195633,252,42
libemg_contraction_intensity,validation,8,20P,F0,48,"[1, 2, 3, 4, 5, 6]",0,8.259398460388184,3.949981212615967,0.4782407861192469,0.0,0.0,3.7259041810943394,24,4
libemg_contraction_intensity,validation,8,30P,F0,48,"[1, 2, 3, 4, 5, 6]",0,6.389693260192871,6.366668224334717,0.9963965350103364,0.2650793650793651,0.20833333333333334,1.7596896719154926,24,4
libemg_contraction_intensity,validation,8,40P,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.383184909820557,8.584354400634766,1.5946608827823918,0.4148148148148148,0.4166666666666667,1.4364708845259415,24,4
libemg_contraction_intensity,validation,8,50P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.846495628356934,10.589313507080078,2.1849423416175844,0.42424242424242425,0.4583333333333333,1.698728802665703,24,4
libemg_contraction_intensity,validation,8,60P,F0,48,"[1, 2, 3, 4, 5, 6]",0,4.825027942657471,11.68135929107666,2.4209930863946134,0.5021164021164021,0.5,1.673671946229958,24,4
libemg_contraction_intensity,validation,8,70P,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.389721393585205,12.899678230285645,2.393384980047277,0.6582491582491583,0.7083333333333334,1.320383124723215,24,4
libemg_contraction_intensity,validation,8,80P,F0,48,"[1, 2, 3, 4, 5, 6]",0,6.150356292724609,14.156063079833984,2.3016655305562272,0.6582491582491583,0.7083333333333334,1.4535275445255913,24,4
libemg_contraction_intensity,validation,8,MVC,F0,48,"[1, 2, 3, 4, 5, 6]",0,9.670448303222656,16.88600730895996,1.7461452436655,0.4666666666666666,0.5,3.1861700803087376,12,2
libemg_contraction_intensity,validation,8,Light,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.984741687774658,8.018985748291016,1.3399050730189113,0.4166666666666667,0.4166666666666667,1.2951600839217567,24,4
libemg_contraction_intensity,validation,8,Medium,F0,48,"[1, 2, 3, 4, 5, 6]",0,5.21237850189209,11.220795631408691,2.152720802436024,0.5777777777777778,0.625,1.1220668445605375,24,4
libemg_contraction_intensity,validation,8,Hard,F0,48,"[1, 2, 3, 4, 5, 6]",0,8.206681251525879,17.847368240356445,2.1747363755379907,0.4259259259259259,0.5,2.6112860977372416,24,4
libemg_contraction_intensity,validation,7,ALL,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.4537345170974731,2.6321097178892656,1.8105848672861387,0.4017913687268526,0.42857142857142855,2.0167601356491436,252,42
libemg_contraction_intensity,validation,7,20P,F1_X1H,8,"[1, 2, 3, 4, 5, 6]",0,1.6066433191299438,1.8768749237060547,1.1681963888572553,0.037037037037037035,0.08333333333333333,2.9133959341413167,24,4
