run_id,dataset,phase,subject,family,shots_per_class,zero_shot_same_eval_macro_f1,calibrated_macro_f1,Gain_cal_macro_f1,Gain_cal_logloss,evaluation_trials
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F3_Ring,1,0.25925925925925924,0.25925925925925924,0.0,0.28478985888579156,12
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F4_Spectral,1,0.38888888888888884,0.38888888888888884,0.0,1.3390922444758762,12
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F5_Temporal,1,0.38095238095238093,0.38095238095238093,0.0,0.6591620458229654,12
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F6_IMU,1,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.34189314037873997,12
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F9_Quality,1,0.3531746031746031,0.3531746031746031,0.0,0.6787781363387952,12
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F0,2,0.1111111111111111,0.25,0.1388888888888889,0.28097571791427445,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F1_X1H,2,0.1111111111111111,0.1111111111111111,0.0,0.8690255941288207,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F2b_CSP,2,0.0,0.16666666666666666,0.16666666666666666,1.3222720724042512,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F3_Ring,2,0.06666666666666667,0.06666666666666667,0.0,0.5227649681578328,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F4_Spectral,2,0.4444444444444444,0.4444444444444444,0.0,1.2539182547188819,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F5_Temporal,2,0.5555555555555555,0.5555555555555555,0.0,0.17993089927198191,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F6_IMU,2,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.31251678065916466,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,4,F9_Quality,2,0.3611111111111111,0.3611111111111111,0.0,0.04864268148625461,6
feature_bank_manus_calibration_diagnostics_validation_20260915,semg_manus,validation,5,F0,0,0.2658119658119658,0.2658119658119658,0.0,0.0,18
