factor,run_id,candidate_model,baseline_R,candidate_R,baseline_worst_condition,candidate_worst_condition,delta_R
force,feature_bank_force_product_final_20260915,F0+F2b_CSP+F1_X1H,N/A,0.5860155843959264,N/A,N/A,N/A
wearing,feature_bank_electrode_shift_audited_final_20260915,F0+F3_Ring,0.4912336521444681,0.547764038384728,0.39383753501400565,0.36380952380952375,0.056530386240259856
day,feature_bank_unibo_audited_final_20260915,F0+F5_Temporal,0.7044197736212992,0.7101659216451659,0.6926866464992837,0.6993607281698995,0.005746148023866748
user,feature_bank_full_fusion_final_20260915,eight-provider uniform zero-shot fusion,0.4370125256876662,0.4744476889013993,N/A,N/A,0.037435163213733136
posture,feature_bank_emg_fmg_audited_final_20260915,F0+F2c_SPD,0.6111620404157643,0.6306912296602936,0.2977508602508603,0.27948374724690517,0.019529189244529288
speed,feature_bank_manus_final_20260915,F0+F2c_SPD,0.44529497161835235,0.47177991413649895,0.32339604839604835,0.4338675213675214,0.026484942518146593
quality,N/A,N/A,N/A,N/A,N/A,N/A,N/A
