factor,full_run,baseline_run,condition_run,method,target_shots_per_class,aggregation,baseline_R,full_R,delta_R,baseline_worst_condition,full_worst_condition,baseline_min_user,full_min_user,scope
force,feature_bank_force_probability_final_20260915,feature_bank_force_probability_final_20260915,feature_bank_force_condition_final_20260915,full,0,mean user macro-F1,0.49292456393024053,0.45157414690541664,-0.04135041702482389,0.41024531024531036,0.37779065649248206,0.331255717462614,0.28874026778113154,source Ramp; unseen force; seven providers; F7 inactive; no F8 or quality routing
wearing,feature_bank_wearing_full_fusion_final_20260915,feature_bank_wearing_full_fusion_final_20260915,feature_bank_wearing_full_fusion_final_20260915,full,0,pooled trials,0.4912336521444681,0.5917412483722286,0.10050759622776051,0.39383753501400565,0.4476767676767676,0.178,0.432511961722488,same-user before/after; nine providers; source before calibration; F7/F8 inactive
day,feature_bank_unibo_full_fusion_final_20260915,feature_bank_unibo_full_fusion_final_20260915,feature_bank_unibo_full_fusion_final_20260915,full,0,pooled weighted windows,0.7044197736212992,0.699239735078423,-0.005180038542876186,0.6926866464992837,0.6904987517760806,0.5641399803044915,0.5653938406223911,native four-channel days 7/8; eight providers; no target calibration or IMU/ring
user,feature_bank_epn_probability_final_20260915,feature_bank_epn_calibration_diagnostics_final_20260915_v2,feature_bank_epn_probability_final_20260915,full,0,mean user macro-F1,0.4370125256876662,0.47921358553845406,0.04220105985078787,N/A,N/A,0.4262886973723617,0.43935061435061434,held-out users; eight providers; F7 inactive; no session key or quality routing
posture,feature_bank_unibo_full_fusion_final_20260915,feature_bank_unibo_full_fusion_final_20260915,feature_bank_unibo_full_fusion_final_20260915,full,0,pooled weighted windows,0.7044197736212992,0.699239735078423,-0.005180038542876186,0.6638235371635641,0.6593823689962557,0.5641399803044915,0.5653938406223911,same UniBo observations as day axis; posture strata; posture not a measured IMU direction
speed,feature_bank_manus_calibrated_quality_final_20260915,feature_bank_manus_calibration_diagnostics_final_20260915,feature_bank_manus_calibrated_quality_final_20260915,combined_full,0,mean user macro-F1,0.4151710852691245,0.4582070707070707,0.04303598543794618,N/A,0.35515873015873006,0.2380952380952381,0.2380952380952381,same users session 3; six finger classes; eight providers; session/speed confounded; F7/F8 inactive at cal0
quality,feature_bank_force_quality_final_20260915,feature_bank_force_quality_final_20260915,feature_bank_force_quality_final_20260915,full_uniform,0,mean user/scenario macro-F1; seven synthetic perturbations; clean excluded,0.4473197869799893,0.3875251019302179,-0.05979468504977142,0.36318144017207876,0.3099631308571868,0.2878378213544744,0.2514211721181931,synthetic quality only; identical native force trials across paired perturbations; original frozen seven-provider uniform fusion; no measured hardware noise or target calibration
