run_id,dataset,phase,subject,condition,calibration_budget,evaluation_unit,evaluation_trials,core_definition_mode,scope,family_a,family_b,comparison_type,error_correlation,both_wrong,core_wrong_increment_correct,core_correct_increment_wrong,disagreement_fraction,disagreement_rate,a_correct_b_wrong,a_wrong_b_correct,both_correct,protocol,evaluation_bouts,shots_per_class,method,calibration_force,target_force_calibration,calibration_trials,session/domain,classes_present,aggregation,evaluation_windows,weighting,evaluation,disagreement
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,18,trial_1,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.816496580927726,4,1,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,18,trial_2,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.6123724356957945,2,2,0,0.3,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,18,trial_3,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,18,trial_4,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,4,0,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,19,ALL,0,whole_native_trial_mean,40,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.4763305116224663,3,2,3,0.15,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,19,trial_1,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,1.0,1,0,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,19,trial_2,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.7637626158259733,2,1,0,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,19,trial_3,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,,0,0,1,0.1,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,19,trial_4,0,whole_native_trial_mean,10,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,-0.16666666666666669,0,1,2,0.3,,,,,,,,,,,,,,,,,,
feature_bank_wearing_document_core_final_20260916,libemg_electrode_shift,final,20,ALL,0,whole_native_trial_mean,40,document,actual concatenation; personal Before-source; source OOF temperatures,Core,Core_plus_F3c_raw,core versus conditional increment; not standalone-family pair,0.591156103515688,11,6,2,0.275,,,,,,,,,,,,,,,,,,
