run_id,dataset,phase,subject,family,D_nuisance,D_gesture,J,feature_dimension,definition
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F1_X1H,1.980488657951355,1.8836277723312378,0.9510924310360542,8,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F1_X1H,1.3335375785827637,1.3528317213058472,1.0144683907164986,8,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,19,F2b_CSP,2.264406204223633,0.9152736663818359,0.40420029969633453,12,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F2b_CSP,1.8205448389053345,1.870404601097107,1.0273872750207707,12,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F2b_CSP,1.4614063501358032,1.8930542469024658,1.295364733241549,12,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,19,F3_Ring,2.157114267349243,2.328937292098999,1.0796541135300264,40,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F3_Ring,1.679921269416809,2.9455933570861816,1.7534115501180612,40,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F3_Ring,2.710698366165161,3.3306527137756348,1.2287065043265206,40,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,19,F4_Spectral,5.2288312911987305,3.8517706394195557,0.7366408332780202,72,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F4_Spectral,4.477203369140625,4.428004264831543,0.9890111973360025,72,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F4_Spectral,3.532524347305298,4.211987018585205,1.192344794961435,72,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,19,F5_Temporal,1.8564486503601074,3.133769989013672,1.6880456070810825,57,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F5_Temporal,1.9390088319778442,2.7354624271392822,1.4107529486328445,57,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F5_Temporal,2.2749085426330566,3.936680316925049,1.730478497551761,57,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,19,F6_IMU,1.7552543878555298,2.094134569168091,1.1930661354023975,13,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F6_IMU,1.2682615518569946,1.7178672552108765,1.3545055061349234,13,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F6_IMU,2.275505781173706,1.634112000465393,0.7181313332554136,13,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,19,F9_Quality,3.1744604110717773,3.238889455795288,1.0202960618118837,53,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,20,F9_Quality,2.577864408493042,3.447154998779297,1.3372134653090944,53,train-standardized source-population to target-user class displacement / within-target-user class separation
feature_bank_epn_calibration_diagnostics_final_20260915_v2,epn612,final,21,F9_Quality,2.9595870971679688,4.395150661468506,1.4850553530500061,53,train-standardized source-population to target-user class displacement / within-target-user class separation
