dataset,phase,subject,condition,model,feature_family,calibration_budget,feature_dimension,macro_f1,accuracy,log_loss,brier,ece,per_class_f1_json
epn612,final,20,cross_user,single_F6_IMU,F0+F6_IMU,0,61,0.5874953030273397,0.58,1.1909603014466164,0.09496418046576807,0.10503414537132827,"{""noGesture"":0.625,""fist"":0.5652173913043478,""waveIn"":0.6842105263157895,""waveOut"":0.4722222222222222,""open"":0.7692307692307693,""pinch"":0.4090909090909091}"
epn612,final,21,cross_user,single_F6_IMU,F0+F6_IMU,0,61,0.4743553980585465,0.5,1.556917615417111,0.11752886968717008,0.1644173854995973,"{""noGesture"":0.5434782608695652,""fist"":0.20689655172413793,""waveIn"":0.5,""waveOut"":0.48484848484848486,""open"":0.52,""pinch"":0.5909090909090909}"
epn612,final,ALL,cross_user,pair_F3_Ring_F2b_CSP,F0+F3_Ring+F2b_CSP,0,100,0.4236527406570258,0.4288888888888889,1.6126262784678613,0.12092946636193726,0.1617298748786757,"{""noGesture"":0.4205128205128205,""fist"":0.34285714285714286,""waveIn"":0.5033112582781457,""waveOut"":0.44871794871794873,""open"":0.48366013071895425,""pinch"":0.34285714285714286}"
epn612,final,19,cross_user,pair_F3_Ring_F2b_CSP,F0+F3_Ring+F2b_CSP,0,100,0.4434456150950996,0.46,1.6444285803512078,0.12334400381419056,0.1573707157776241,"{""noGesture"":0.4742268041237113,""fist"":0.3333333333333333,""waveIn"":0.509090909090909,""waveOut"":0.41025641025641024,""open"":0.5909090909090909,""pinch"":0.34285714285714286}"
epn612,final,20,cross_user,pair_F3_Ring_F2b_CSP,F0+F3_Ring+F2b_CSP,0,100,0.3845014532643313,0.37333333333333335,1.7169024133593989,0.12604579955229014,0.21991688127121625,"{""noGesture"":0.3684210526315789,""fist"":0.5106382978723404,""waveIn"":0.5365853658536586,""waveOut"":0.2857142857142857,""open"":0.3389830508474576,""pinch"":0.26666666666666666}"
epn612,final,21,cross_user,pair_F3_Ring_F2b_CSP,F0+F3_Ring+F2b_CSP,0,100,0.43237112769027664,0.4533333333333333,1.476547841692978,0.11339859571933099,0.14420334303986387,"{""noGesture"":0.36666666666666664,""fist"":0.07142857142857142,""waveIn"":0.4727272727272727,""waveOut"":0.723404255319149,""open"":0.56,""pinch"":0.4}"
epn612,final,ALL,cross_user,pair_F3_Ring_F6_IMU,F0+F3_Ring+F6_IMU,0,101,0.47362061900593067,0.4777777777777778,1.4795801955787813,0.11232886021565558,0.11804855173771839,"{""noGesture"":0.4973544973544973,""fist"":0.42718446601941745,""waveIn"":0.44025157232704404,""waveOut"":0.4489795918367347,""open"":0.569620253164557,""pinch"":0.4583333333333333}"
epn612,final,19,cross_user,pair_F3_Ring_F6_IMU,F0+F3_Ring+F6_IMU,0,101,0.42168995936014375,0.43333333333333335,1.5607958252597531,0.12153301848376116,0.15605451845035376,"{""noGesture"":0.5,""fist"":0.35294117647058826,""waveIn"":0.4074074074074074,""waveOut"":0.35,""open"":0.5116279069767442,""pinch"":0.40816326530612246}"
epn612,final,20,cross_user,pair_F3_Ring_F6_IMU,F0+F3_Ring+F6_IMU,0,101,0.5368666947406676,0.5333333333333333,1.2366518008476508,0.09621966243010158,0.09401795924848427,"{""noGesture"":0.5217391304347826,""fist"":0.6666666666666666,""waveIn"":0.5,""waveOut"":0.4864864864864865,""open"":0.7058823529411765,""pinch"":0.3404255319148936}"
epn612,final,21,cross_user,pair_F3_Ring_F6_IMU,F0+F3_Ring+F6_IMU,0,101,0.44415938999272336,0.4666666666666667,1.6412929606289406,0.11923389973310397,0.16988091818244822,"{""noGesture"":0.47619047619047616,""fist"":0.14814814814814814,""waveIn"":0.4307692307692308,""waveOut"":0.48484848484848486,""open"":0.5,""pinch"":0.625}"
epn612,final,ALL,cross_user,pair_F2b_CSP_F6_IMU,F0+F2b_CSP+F6_IMU,0,73,0.47211665628223454,0.48,1.4151944826204943,0.10959085999834506,0.099403820684298,"{""noGesture"":0.5277777777777778,""fist"":0.3925233644859813,""waveIn"":0.5103448275862069,""waveOut"":0.3815789473684211,""open"":0.581081081081081,""pinch"":0.4393939393939394}"
epn612,final,19,cross_user,pair_F2b_CSP_F6_IMU,F0+F2b_CSP+F6_IMU,0,73,0.4226037588971519,0.44,1.5088148318125902,0.11585062180893248,0.1474103446460762,"{""noGesture"":0.5106382978723404,""fist"":0.3333333333333333,""waveIn"":0.48,""waveOut"":0.34615384615384615,""open"":0.4444444444444444,""pinch"":0.42105263157894735}"
epn612,final,20,cross_user,pair_F2b_CSP_F6_IMU,F0+F2b_CSP+F6_IMU,0,73,0.4914617438755369,0.4866666666666667,1.325809063625271,0.10534887882812592,0.08823402405246777,"{""noGesture"":0.4444444444444444,""fist"":0.56,""waveIn"":0.6,""waveOut"":0.36363636363636365,""open"":0.6206896551724138,""pinch"":0.36}"
epn612,final,21,cross_user,pair_F2b_CSP_F6_IMU,F0+F2b_CSP+F6_IMU,0,73,0.4746571966818205,0.5133333333333333,1.4109595524236218,0.10757307935797676,0.12224941089959909,"{""noGesture"":0.5813953488372093,""fist"":0.14814814814814814,""waveIn"":0.4727272727272727,""waveOut"":0.47058823529411764,""open"":0.6296296296296297,""pinch"":0.5454545454545454}"
epn612,final,ALL,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.37833082718543026,0.3933333333333333,1.6342253361990924,0.12746493769190492,0.12226852906066517,"{""noGesture"":0.5326633165829145,""fist"":0.26785714285714285,""waveIn"":0.47368421052631576,""waveOut"":0.3188405797101449,""open"":0.37037037037037035,""pinch"":0.30656934306569344}"
epn612,final,19,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.31800577584408357,0.35333333333333333,1.8575563818529077,0.14125299215866477,0.1796090663132273,"{""noGesture"":0.5476190476190477,""fist"":0.29411764705882354,""waveIn"":0.3793103448275862,""waveOut"":0.20408163265306123,""open"":0.20512820512820512,""pinch"":0.2777777777777778}"
epn612,final,20,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.43775867335862234,0.43333333333333335,1.4649016297666935,0.11575970127768312,0.09064778258639124,"{""noGesture"":0.5217391304347826,""fist"":0.4186046511627907,""waveIn"":0.5652173913043478,""waveOut"":0.41379310344827586,""open"":0.5185185185185185,""pinch"":0.18867924528301888}"
epn612,final,21,cross_user,leave_out_F0,F3_Ring+F2b_CSP+F6_IMU,0,65,0.36793700883813085,0.3933333333333333,1.5802179969776762,0.12538211963936688,0.11536304545091752,"{""noGesture"":0.5217391304347826,""fist"":0.05714285714285714,""waveIn"":0.5,""waveOut"":0.3225806451612903,""open"":0.34782608695652173,""pinch"":0.4583333333333333}"
epn612,final,ALL,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.47211665628223454,0.48,1.4151944826204943,0.10959085999834506,0.099403820684298,"{""noGesture"":0.5277777777777778,""fist"":0.3925233644859813,""waveIn"":0.5103448275862069,""waveOut"":0.3815789473684211,""open"":0.581081081081081,""pinch"":0.4393939393939394}"
epn612,final,19,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.4226037588971519,0.44,1.5088148318125902,0.11585062180893248,0.1474103446460762,"{""noGesture"":0.5106382978723404,""fist"":0.3333333333333333,""waveIn"":0.48,""waveOut"":0.34615384615384615,""open"":0.4444444444444444,""pinch"":0.42105263157894735}"
epn612,final,20,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.4914617438755369,0.4866666666666667,1.325809063625271,0.10534887882812592,0.08823402405246777,"{""noGesture"":0.4444444444444444,""fist"":0.56,""waveIn"":0.6,""waveOut"":0.36363636363636365,""open"":0.6206896551724138,""pinch"":0.36}"
epn612,final,21,cross_user,leave_out_F3_Ring,F0+F2b_CSP+F6_IMU,0,73,0.4746571966818205,0.5133333333333333,1.4109595524236218,0.10757307935797676,0.12224941089959909,"{""noGesture"":0.5813953488372093,""fist"":0.14814814814814814,""waveIn"":0.4727272727272727,""waveOut"":0.47058823529411764,""open"":0.6296296296296297,""pinch"":0.5454545454545454}"
epn612,final,ALL,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.47362061900593067,0.4777777777777778,1.4795801955787813,0.11232886021565558,0.11804855173771839,"{""noGesture"":0.4973544973544973,""fist"":0.42718446601941745,""waveIn"":0.44025157232704404,""waveOut"":0.4489795918367347,""open"":0.569620253164557,""pinch"":0.4583333333333333}"
epn612,final,19,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.42168995936014375,0.43333333333333335,1.5607958252597531,0.12153301848376116,0.15605451845035376,"{""noGesture"":0.5,""fist"":0.35294117647058826,""waveIn"":0.4074074074074074,""waveOut"":0.35,""open"":0.5116279069767442,""pinch"":0.40816326530612246}"
epn612,final,20,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.5368666947406676,0.5333333333333333,1.2366518008476508,0.09621966243010158,0.09401795924848427,"{""noGesture"":0.5217391304347826,""fist"":0.6666666666666666,""waveIn"":0.5,""waveOut"":0.4864864864864865,""open"":0.7058823529411765,""pinch"":0.3404255319148936}"
epn612,final,21,cross_user,leave_out_F2b_CSP,F0+F3_Ring+F6_IMU,0,101,0.44415938999272336,0.4666666666666667,1.6412929606289406,0.11923389973310397,0.16988091818244822,"{""noGesture"":0.47619047619047616,""fist"":0.14814814814814814,""waveIn"":0.4307692307692308,""waveOut"":0.48484848484848486,""open"":0.5,""pinch"":0.625}"
epn612,final,ALL,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.4236527406570258,0.4288888888888889,1.6126262784678613,0.12092946636193726,0.1617298748786757,"{""noGesture"":0.4205128205128205,""fist"":0.34285714285714286,""waveIn"":0.5033112582781457,""waveOut"":0.44871794871794873,""open"":0.48366013071895425,""pinch"":0.34285714285714286}"
epn612,final,19,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.4434456150950996,0.46,1.6444285803512078,0.12334400381419056,0.1573707157776241,"{""noGesture"":0.4742268041237113,""fist"":0.3333333333333333,""waveIn"":0.509090909090909,""waveOut"":0.41025641025641024,""open"":0.5909090909090909,""pinch"":0.34285714285714286}"
epn612,final,20,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.3845014532643313,0.37333333333333335,1.7169024133593989,0.12604579955229014,0.21991688127121625,"{""noGesture"":0.3684210526315789,""fist"":0.5106382978723404,""waveIn"":0.5365853658536586,""waveOut"":0.2857142857142857,""open"":0.3389830508474576,""pinch"":0.26666666666666666}"
epn612,final,21,cross_user,leave_out_F6_IMU,F0+F3_Ring+F2b_CSP,0,100,0.43237112769027664,0.4533333333333333,1.476547841692978,0.11339859571933099,0.14420334303986387,"{""noGesture"":0.36666666666666664,""fist"":0.07142857142857142,""waveIn"":0.4727272727272727,""waveOut"":0.723404255319149,""open"":0.56,""pinch"":0.4}"
