run_id,phase,dataset,subject,condition,shots_per_class,feature_bank,mode,evaluation_trials,macro_f1,accuracy,log_loss,brier,ece,per_class_f1_json,method,calibration_trials,supported,reason,aggregation,protocol,calibration_force,target_force_calibration,model,feature_dimension,session/domain,classes_present,removed_family,n0,reliability_temperature,weights_json
feature_bank_epn612_anchor_temperature_validation_20260916_v2,validation,emg_epn612,ALL,cross_user,0,F0+F3_Ring,population_zero_shot,450,0.41687044805928813,0.4288888888888889,1.4831184845970693,0.11616639522035696,0.11974642395988432,"{""noGesture"":0.4790874524714829,""fist"":0.49295774647887325,""waveIn"":0.4745762711864407,""waveOut"":0.39436619718309857,""open"":0.3770491803278688,""pinch"":0.2831858407079646}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_validation_20260916_v2,validation,emg_epn612,ALL,cross_user,1,F0+F3_Ring,population_plus_F7_anchor,432,0.4068740529131813,0.4236111111111111,1.4994806324870955,0.11693623019317768,0.08055958728051475,"{""noGesture"":0.4827586206896552,""fist"":0.49295774647887325,""waveIn"":0.48695652173913045,""waveOut"":0.32857142857142857,""open"":0.4,""pinch"":0.25}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_validation_20260916_v2,validation,emg_epn612,ALL,cross_user,2,F0+F3_Ring,population_plus_F7_anchor,414,0.3512240992384048,0.3743961352657005,1.5466462301270356,0.12067423180040124,0.08654411454911691,"{""noGesture"":0.4674329501915709,""fist"":0.39705882352941174,""waveIn"":0.41904761904761906,""waveOut"":0.2807017543859649,""open"":0.29310344827586204,""pinch"":0.25}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_validation_20260916_v2,validation,emg_epn612,ALL,cross_user,5,F0+F3_Ring,population_plus_F7_anchor,360,0.33686773313343044,0.36666666666666664,1.650541344439463,0.12875048984888415,0.08586245756159315,"{""noGesture"":0.48484848484848486,""fist"":0.4,""waveIn"":0.3137254901960784,""waveOut"":0.35714285714285715,""open"":0.2857142857142857,""pinch"":0.1797752808988764}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,19,cross_user,0,F0+F3_Ring,population_zero_shot,150,0.4342185936347635,0.44,1.6059092661973602,0.12353240820974407,0.16409865605051108,"{""noGesture"":0.4444444444444444,""fist"":0.3870967741935484,""waveIn"":0.48148148148148145,""waveOut"":0.4,""open"":0.47368421052631576,""pinch"":0.4186046511627907}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,19,cross_user,1,F0+F3_Ring,population_plus_F7_anchor,144,0.45207060096765983,0.4652777777777778,1.5325563169624428,0.11826832423176449,0.09288007928752456,"{""noGesture"":0.4791666666666667,""fist"":0.2857142857142857,""waveIn"":0.5098039215686274,""waveOut"":0.4117647058823529,""open"":0.5714285714285714,""pinch"":0.45454545454545453}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,19,cross_user,2,F0+F3_Ring,population_plus_F7_anchor,138,0.4299957778353392,0.4420289855072464,1.6107153358184088,0.12273788264203489,0.08137130397330007,"{""noGesture"":0.46808510638297873,""fist"":0.2962962962962963,""waveIn"":0.4489795918367347,""waveOut"":0.4,""open"":0.5882352941176471,""pinch"":0.3783783783783784}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,19,cross_user,5,F0+F3_Ring,population_plus_F7_anchor,120,0.4411183086508612,0.44166666666666665,1.5931338228572174,0.12540738480436878,0.15086693943560917,"{""noGesture"":0.43010752688172044,""fist"":0.3333333333333333,""waveIn"":0.5161290322580645,""waveOut"":0.3448275862068966,""open"":0.5517241379310345,""pinch"":0.47058823529411764}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,20,cross_user,0,F0+F3_Ring,population_zero_shot,150,0.45198496593845433,0.44666666666666666,1.4952042967808339,0.11400319740304052,0.12301547938185091,"{""noGesture"":0.46511627906976744,""fist"":0.5777777777777777,""waveIn"":0.45454545454545453,""waveOut"":0.4,""open"":0.4888888888888889,""pinch"":0.32558139534883723}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,20,cross_user,1,F0+F3_Ring,population_plus_F7_anchor,144,0.48198496299762117,0.4722222222222222,1.4392519867634594,0.11168778330379833,0.108993376915436,"{""noGesture"":0.47619047619047616,""fist"":0.5454545454545454,""waveIn"":0.5128205128205128,""waveOut"":0.4050632911392405,""open"":0.5238095238095238,""pinch"":0.42857142857142855}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,20,cross_user,2,F0+F3_Ring,population_plus_F7_anchor,138,0.41751495420876755,0.42028985507246375,1.4736014776797668,0.11612853408051782,0.10746565825702781,"{""noGesture"":0.4878048780487805,""fist"":0.425531914893617,""waveIn"":0.41025641025641024,""waveOut"":0.44155844155844154,""open"":0.5294117647058824,""pinch"":0.21052631578947367}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,20,cross_user,5,F0+F3_Ring,population_plus_F7_anchor,120,0.4492131806751063,0.4583333333333333,1.5417707018883327,0.12063886824598485,0.183110870234454,"{""noGesture"":0.5217391304347826,""fist"":0.5882352941176471,""waveIn"":0.5,""waveOut"":0.3111111111111111,""open"":0.45161290322580644,""pinch"":0.3225806451612903}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,21,cross_user,0,F0+F3_Ring,population_zero_shot,150,0.4139480674364395,0.43333333333333335,1.5692124957334352,0.12038114780566882,0.12796525919827884,"{""noGesture"":0.3333333333333333,""fist"":0.07692307692307693,""waveIn"":0.4666666666666667,""waveOut"":0.6976744186046512,""open"":0.4,""pinch"":0.509090909090909}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,21,cross_user,1,F0+F3_Ring,population_plus_F7_anchor,144,0.3792038095899885,0.3958333333333333,1.618286167023701,0.1203751064261905,0.0789483772585271,"{""noGesture"":0.31746031746031744,""fist"":0.07692307692307693,""waveIn"":0.4642857142857143,""waveOut"":0.6341463414634146,""open"":0.375,""pinch"":0.4074074074074074}",,,,,,,,,,,,,,,,
feature_bank_epn612_anchor_temperature_final_20260916_v2,final,emg_epn612,21,cross_user,2,F0+F3_Ring,population_plus_F7_anchor,138,0.4157908232225172,0.427536231884058,1.4558367527550153,0.11515858431513745,0.0894719641369682,"{""noGesture"":0.32786885245901637,""fist"":0.08,""waveIn"":0.48148148148148145,""waveOut"":0.717948717948718,""open"":0.36363636363636365,""pinch"":0.5238095238095238}",,,,,,,,,,,,,,,,
