run_id,phase,subject,shots_per_class,calibration_trials,evaluation_trials,base,spatial_family,anchor,S_negative_logloss,S_macro_f1,S_negative_brier,dataset,condition,calibration_budget,evaluation,family_a,family_b
feature_bank_epn_core_incremental_validation_20260915,validation,18,,,,,,,0.07096042534363667,0.02828117239861716,0.004839009282873216,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_validation_20260915,validation,18,,,,,,,0.08699275423056974,0.026552495304805024,0.0048923800204456885,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_final_20260915,final,ALL,,,,,,,0.04955701886980601,0.007348577921265809,0.0028576826640609038,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_final_20260915,final,ALL,,,,,,,0.05095375736209551,-0.0022560104921832136,0.002209543080429005,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_final_20260915,final,19,,,,,,,0.05103943929367416,0.011414469902081448,0.0034933970901695477,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_final_20260915,final,19,,,,,,,0.0632633309264834,0.027819003035939427,0.003329874366828897,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_final_20260915,final,20,,,,,,,0.04996449116198787,0.008621754666705117,0.0029069818205176012,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_final_20260915,final,20,,,,,,,0.06103961492521548,-0.042153091833143086,0.0034252244538391513,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_final_20260915,final,21,,,,,,,0.04766712615375468,-0.014598139234892116,0.0021726690814956595,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_final_20260915,final,21,,,,,,,0.02855832623458676,0.006310346072210593,-0.0001264695793809778,epn612,cross_user,0,independent users; fixed source-prespecified uniform late fusion; pooled ALL,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,ALL,,,,,,,0.04197290048894797,0.011326077602170026,0.003126728662467562,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,ALL,,,,,,,0.0415540528291114,0.014663142732178336,0.0029313371662264553,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,1,,,,,,,0.03757854084774159,0.01622947885844861,0.003298585321521108,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,1,,,,,,,0.04735940770638214,0.04639567608231204,0.00399180536627905,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,2,,,,,,,-0.009598777824523452,0.03770781735270212,-0.0005640955368828304,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,2,,,,,,,-0.049130642531258095,0.019253139807303088,-0.0018361602461825777,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,3,,,,,,,0.06264972001827651,0.031950677984230125,0.005084615118119987,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,3,,,,,,,0.08629248326802519,0.006567431115733657,0.006588135199928999,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,4,,,,,,,0.06978546271435992,0.015706218478794054,0.004905657463028915,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,4,,,,,,,0.07606251052053814,-0.018563788407107318,0.004720311725822865,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,5,,,,,,,0.06114643890123217,0.03767543910483395,0.004492998968169584,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,5,,,,,,,0.07169174763368069,0.02922477441832433,0.0048763580355982855,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
feature_bank_epn_core_incremental_20260915,source_nested_oof,6,,,,,,,0.06309442886097916,-0.003060622188539641,0.004774149489260193,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F4_Spectral
feature_bank_epn_core_incremental_20260915,source_nested_oof,6,,,,,,,0.06915283952438012,-0.0189597829346837,0.004546256554043185,epn612,cross_user,0,source-user nested OOF; fixed uniform late fusion,F1_X1H,F2b_CSP
