run,fold,groups,feature_dimension,selected_C,gamma,all_macro_f1,active_macro_f1,delta_active_vs_E0,active_accuracy,neutral_precision,neutral_recall,neutral_f1,pinch_precision,pinch_recall,pinch_f1,fist_precision,fist_recall,fist_f1,open_precision,open_recall,open_f1,fist_to_open_rate,fist_to_pinch_rate,segment_macro_f1,segment_active_macro_f1,active_ece,active_risk_at_90pct,active_risk_at_70pct,active_risk_at_50pct,worst_subject,worst_subject_active_macro_f1,worst_posture,worst_posture_active_macro_f1,training_seconds,inference_ms_per_window,nmf_reconstruction_error,model_sha256
E0,D1-3_to_D4,G0,24,1.0,scale,0.6648253383371922,0.5544129143823143,,0.5594419090884452,0.9982315725709705,0.9939030528611562,0.996062610201826,0.5581728039399045,0.6853141900193583,0.6152436573621958,0.5073132895497079,0.55563365801046,0.5303751790751873,0.6339350728668449,0.4373706214396826,0.5176199067095597,0.11526150413154682,0.3278205966059032,0.6779841426237775,0.5714415494145556,0.20215800195300085,0.4122077413883154,0.39454095986045845,0.3756749851938129,u05,0.15364179764195224,3,0.5147128728366371,46.36400290000165,0.44291704700283197,,3f772775620e99cdf25edac3b1532229d0f14614e2fe9df9770a21684bf51f7e
E0,D1-4_to_D5,G0,24,1.0,scale,0.715407295161074,0.6206053410565134,,0.6187004642328203,1.0,0.9996263847567272,0.9998131574747559,0.7605890187888195,0.5894873407005163,0.6641959099579031,0.5807540760503732,0.6728892404753832,0.6234359709578363,0.5576335417407333,0.5917472395819469,0.5741841422538009,0.23839714992747135,0.08871360959713054,0.7275351778241985,0.6367135704322647,0.1649616192411444,0.3671812211404273,0.3372544250617585,0.3065001589049976,u01,0.3448880365651454,4,0.5838039988953015,70.95913989999099,0.6117589042806748,,3c179913ea359e690ed72c514ca0ad1cad25a38d7c23f1680f3d9471f8ba03b3
E0,D1-5_to_D6,G0,24,1.0,scale,0.6982006334452953,0.5994077199073787,,0.6022550135307131,0.9946959772545598,0.9944627981979351,0.9945793740590447,0.6269776782068238,0.543398181453627,0.582203618328985,0.5432018374468485,0.5430583199700898,0.5431300692276528,0.6342423463078648,0.7165520860115232,0.6728894721654982,0.2528514707817577,0.19010008659696415,0.7203810644162354,0.6283619375164299,0.16674548458152585,0.3763222872433862,0.3355241646050213,0.30954362921112677,u07,0.3536069850917997,4,0.568400255542079,96.11611699999776,0.7570939847153992,,6efd2354ed1a90806ac45962ed174e93a481df5d0fcd90dafb2ee72f1264179c
E1,D1-3_to_D4,G0+G1,32,1.0,scale,0.656442094630932,0.5433121522398453,-0.011100762142469023,0.5491176401182943,0.9980762864399086,0.9935976282843976,0.9958319218041921,0.5370795002292169,0.6799676947264282,0.6001356581229247,0.5124572905623072,0.5457620165393263,0.528585563333902,0.6178663076179994,0.42161562840748384,0.5012152352627093,0.1159032848651775,0.3372752730317012,0.6651548079876921,0.5543357698997751,0.21427291380114935,0.42359125060022024,0.3972682296400445,0.37440554443128043,u05,0.15031999171895796,3,0.5077503919934417,43.87325299999793,0.41413544363112487,,12468a2fe84237c5c12448e6ab805962d79889edd81d3f6545817925f2f12fe6
E1,D1-4_to_D5,G0+G1,32,1.0,scale,0.7225199067571676,0.6301241159428055,0.009518774886292047,0.62867686313773,0.9998596486475485,0.9995549561852985,0.9997072792002542,0.7561273675037706,0.5981835306648025,0.6679455048871493,0.5987828791881289,0.6828206881052274,0.6380465036568986,0.5668355141654727,0.6030459585277265,0.5843803392843685,0.22755455188100993,0.08962476001374765,0.7332292265494803,0.6443056353993071,0.16623227110629754,0.356399528592734,0.32732561934056703,0.2919241626299777,u01,0.3387235660534434,4,0.5872907832957744,69.02606660001038,0.5853871292479583,,53c5c12b8a415ecb42ba9c59f079c4c21c4a5a0fc791257ba193d86dcd5f307a
E1,D1-5_to_D6,G0+G1,32,1.0,scale,0.7111694891064209,0.6165307279206785,0.0171230080132998,0.6178705344969969,0.9947591859206372,0.9954125739187356,0.9950857726636483,0.6487241056020685,0.5639584423492486,0.6033787436420486,0.5493615880748111,0.5737196468385451,0.5612764713698711,0.6591739335260595,0.7127957493607303,0.6849369687501159,0.22796909622063494,0.18405780756726556,0.7475032776625298,0.664524888511489,0.1535882067458826,0.36220897299889787,0.32389657647426845,0.2970389249033996,u07,0.42448198376153234,4,0.5803798571680836,90.98103819999233,0.7212215219000722,,7373e84e49ecf4ca21f2c0fcd18268eb847be7cd4758464b7768b37976d48d5c
E2,D1-3_to_D4,G0+G2,30,10.0,scale,0.664178142322978,0.5541309997056932,-0.0002819146766210867,0.5594561149023143,0.9980366498518962,0.990630075483815,0.9943195701748322,0.5930584740071401,0.6794856743662427,0.6333371422350336,0.4989631517589608,0.5518456159365114,0.5240737159358081,0.5801973015272845,0.4470303700878531,0.5049821409462381,0.17689122303349475,0.26981379045077647,0.6786437262396516,0.5727204346270578,0.21388163139176808,0.42064096102393533,0.3976239816702493,0.3715941492633968,u05,0.1749603999580526,2,0.5181827577442365,46.296320299996296,0.38090086427139025,,64b0dd61c358275858c1ac02dc432a4d45eb05f3b874cc806c037445b779ad83
E2,D1-4_to_D5,G0+G2,30,1.0,scale,0.7151789640423217,0.6202977866572567,-0.00030755439925678196,0.6189521794453354,0.999928556274442,0.9997164586172929,0.999822496197517,0.7619365902749171,0.5902763694399242,0.6652105513701901,0.5777814067633926,0.6936635599358884,0.6304416124603738,0.5603389935383489,0.5702299309678974,0.5652411961412062,0.2190326631263138,0.08730377693778212,0.7209654936600689,0.6279539915467586,0.17701521091830483,0.36101414758195205,0.3337385354175831,0.30442269360502744,u01,0.35402064517245685,4,0.5846394629355962,116.96582930000295,1.0967737759472864,,fd109373ce903c18bf3e65e787ec47a9a1861f3e6d8053f15fc09112d01c9aa5
E2,D1-5_to_D6,G0+G2,30,1.0,scale,0.7044730369982185,0.6076276225869646,0.008219902679585833,0.6093583308000532,0.9953186408357315,0.994700111876706,0.9950092802319805,0.6164652403898142,0.564535166668953,0.5893584881918884,0.5477472656797422,0.5606139128928204,0.5541059066766292,0.6600527332625293,0.6999549304395151,0.679418472892376,0.22404823115839748,0.20303763153023063,0.7208528282016909,0.6293877773896762,0.17507676367194672,0.36970109304186377,0.3236618288656439,0.2826761422987619,u03,0.3950254615982512,4,0.5811244712175158,197.36490390000108,1.3750057893007848,,13245b554613305d3dd18cab5b1c4ceebb921a56933e5cc63596eb501bd724e9
E3,D1-3_to_D4,G0+G3,34,1.0,scale,0.6606267282976469,0.5485899034562863,-0.005823010926027994,0.5531828605748916,0.9981632986710268,0.9953151761419964,0.9967372028217286,0.539792602947969,0.6732806241729882,0.5991920232207585,0.5189434507371208,0.5521828490669404,0.5350474041858015,0.6226248184153054,0.4340780270605947,0.5115302829622989,0.11718044101457331,0.3293656931186486,0.6791185790765162,0.5727547686529557,0.20799040846285974,0.42149867151861475,0.3972602369631887,0.3654325109454846,u05,0.14661862642851867,3,0.5019804996098333,66.88248920000478,0.4624585618186102,,752e02b27e446b656b6c2ac07d5c7ce7b28f496c7f22263a940b8e610fc6955b
E3,D1-4_to_D5,G0+G3,34,1.0,scale,0.7243032535315529,0.6325168566044832,0.011911515547969764,0.6308244605012868,0.9998334830119259,0.9994914641218066,0.999662444312762,0.7681832838647928,0.6044623808096672,0.6765590109858753,0.598003193364904,0.688322578290014,0.6399919972885646,0.565291098298865,0.5976060000848724,0.5809995615390099,0.23016734980463138,0.08122419025161076,0.7362252266783025,0.6483003022377365,0.16476410006429254,0.3567080954769587,0.3236448077240741,0.2891282379013557,u01,0.3451427417907669,4,0.6015671384647655,78.28451660001156,0.6166588460414404,,ba4878bb1d4806993c391178b7534831ff92e682958bb34904d650e97d1da223
E3,D1-5_to_D6,G0+G3,34,1.0,scale,0.6998023343597788,0.6016822098370388,0.002274489929660062,0.6040373673690912,0.994008931540544,0.9943165319022214,0.9941627079279988,0.6192259496654484,0.5577454437127614,0.5868799428732244,0.5496809486681885,0.5414641071024243,0.545541589521539,0.6394213225571292,0.709466148915805,0.6726250971163531,0.24896976544100108,0.19232101633486562,0.7297270851580359,0.6412201199981363,0.1643560649997651,0.37559214096204674,0.33427477361534624,0.3057350881965457,u07,0.35379596254295026,4,0.5761327781509317,106.84098120000272,0.7690333881172958,,6ce5f68565d78d28006513961899489e8cac2950cb2eec6634120697ce56ae68
