run_id,source_artifact,source_row_1based,source_record_sha256,dataset,subject,session/domain,core_bank,added_family,condition,delta_logloss,delta_macro_f1,delta_brier,metadata_notes_json
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,13,64dad5ebe5508d8b635d4a26044afbe570bf63181b644fb2ed31e81998cd7c01,libemg_contraction_intensity,N/A,N/A,F0,F2a_Cov,ALL,-1.100205799897503,-0.10101353406230046,-0.02426674920387084,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""not recoverable from inspected source fields/manifest"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,14,8857b43c1d1f1bd1787f82d35b542719edc3c6efe9f7844a7fc99cd7d60adb71,libemg_contraction_intensity,N/A,20P,F0,F2a_Cov,20P,-1.6396175139295752,-0.004530815815360967,-0.037053305105659684,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,15,52e90352295c03fa6a4429c8ab493d171a178b3476a35aae2913263ebb1f65a0,libemg_contraction_intensity,N/A,30P,F0,F2a_Cov,30P,-1.2716796788283062,-0.10843891445996778,-0.02774866767619849,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,16,2181d82de50c6de38ee8ba9a2563224074cad54fa2197b5afeb6f2f609852bac,libemg_contraction_intensity,N/A,40P,F0,F2a_Cov,40P,-1.1570558554058703,-0.18148120110403482,-0.038744126508796925,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,17,eaa230446c0a2dc441955523f5c58fd0295b0adc1b25c1b6d62e560d15a93555,libemg_contraction_intensity,N/A,50P,F0,F2a_Cov,50P,-0.9556135725045087,-0.13222250174566313,-0.026353825427201424,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,18,5ccebf4da38b57a05518835428fff77af911db1bb4230fd1cb8277d621deb692,libemg_contraction_intensity,N/A,60P,F0,F2a_Cov,60P,-0.7390025303632428,-0.13000278945412813,-0.018907733455481426,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,19,5acfc061c75bfc03e56d84ef58bfe1addd49e7a01b8a8a50f28d0a7070fb1a75,libemg_contraction_intensity,N/A,70P,F0,F2a_Cov,70P,-0.7727672210410128,-0.0984075022405192,-0.01678544215585548,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,20,b1249735b6d8f3a81da950f729f8d6af43ae744f28a8bd10393f1754ad770a48,libemg_contraction_intensity,N/A,80P,F0,F2a_Cov,80P,-0.8115392343985031,-0.09500408042643227,-0.01770116036431965,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,21,1e7a726dcfb97492be15e9d02994a18dc8cd9c9e203925451d9a02c446e9c418,libemg_contraction_intensity,N/A,Hard,F0,F2a_Cov,Hard,-1.0036477773921004,-0.06598910149055243,-0.011104322694081334,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
feature_bank_force_audited_validation_20260915,conditional_incremental.csv,22,480c46ba2896848ef925b01fbf8e622350a011047821c95a6f6db76ab987ac1a,libemg_contraction_intensity,N/A,Light,F0,F2a_Cov,Light,-1.720046163141961,-0.08584285688680848,-0.03516094080032239,"{""dataset"": ""same-run recorded dataset"", ""session/domain"": ""recorded condition/domain; not an inferred session ID"", ""subject"": ""not recoverable from inspected source fields/manifest""}"
